Thu Jan 19 17:48:17 2023    profile.dat

         19705733 function calls (16881799 primitive calls) in 2162.912 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8463    0.031    0.000    1.105    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2859(from_callable)
     8463    0.034    0.000    1.139    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:3111(signature)
     8463    0.007    0.000    0.007    0.000 {built-in method sys.getrecursionlimit}
     8447    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
     8439    0.013    0.000    0.013    0.000 {method 'values' of 'mappingproxy' objects}
     8435    0.034    0.000    0.034    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\tqdm\std.py:233(__call__)
     8413    0.092    0.000    0.185    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:1840(_signature_bound_method)
     8413    0.024    0.000    0.072    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2873(replace)
     8412    0.145    0.000    4.053    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\models\distilbert\modeling_distilbert.py:205(unshape)
     8412    8.605    0.001  272.616    0.032 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\models\distilbert\modeling_distilbert.py:172(forward)
     8412    0.059    0.000  344.075    0.041 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\models\distilbert\modeling_distilbert.py:247(forward)
     8412    4.105    0.000  342.770    0.041 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\models\distilbert\modeling_distilbert.py:250(ff_chunk)
     8412   11.510    0.001  652.184    0.078 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\models\distilbert\modeling_distilbert.py:272(forward)
     8412    3.501    0.000    3.501    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
     8412    0.105    0.000    0.105    0.000 {method 'expand_as' of 'torch._C._TensorBase' objects}
     8412    5.571    0.001    5.571    0.001 {method 'masked_fill' of 'torch._C._TensorBase' objects}
     8412   52.434    0.006   52.434    0.006 {method 'softmax' of 'torch._C._TensorBase' objects}
     8412    0.051    0.000   52.494    0.006 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\functional.py:1811(softmax)
     8412    0.027    0.000   19.369    0.002 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\activations.py:56(forward)
     8412    0.094    0.000  344.017    0.041 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\pytorch_utils.py:174(apply_chunking_to_forward)
     8412   19.342    0.002   19.342    0.002 {built-in method torch._C._nn.gelu}
     8325    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     8294    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     8076    0.007    0.000    0.007    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\utils\import_utils.py:280(is_torch_available)
     8001    0.004    0.000    0.006    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\utils\data\sampler.py:117(__iter__)
     7814    0.010    0.000    0.011    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:229(__getitem__)
     7476    0.015    0.000    0.032    0.000 {built-in method builtins.all}
     7431    0.095    0.000    0.095    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
     7042    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     7010    0.005    0.000    0.006    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\utils\generic.py:214(<genexpr>)
     6899    0.005    0.000    0.005    0.000 {method 'upper' of 'str' objects}
     6835    0.030    0.000    0.055    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\os.py:674(__getitem__)
     6835    0.006    0.000    0.007    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\os.py:740(check_str)
     6835    0.013    0.000    0.025    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\os.py:746(encodekey)
     6402    0.002    0.000    0.002    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\pyarrow\types.py:57(is_boolean)
     6396    0.002    0.000    0.002    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\pyarrow\types.py:68(is_integer)
     6396    0.009    0.000    0.013    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\features\features.py:494(encode_example)
     6396    0.012    0.000    0.031    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\features\features.py:1190(encode_nested_example)
     6298    0.007    0.000    0.010    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\copy.py:242(_keep_alive)
     5765    0.017    0.000    0.068    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\_collections_abc.py:760(get)
     5760    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
     5608    0.004    0.000    0.005    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:2993(<genexpr>)
